Time to Evacuate,Age,Gender
26.17878,58,Male
26.57302,21,Male
32.82616,38,Male
33.04304,28,Female
33.09778,20,Female
34.46074,35,Male
36.32821,28,Female
37.09261,52,Male
39.27149,46,Female
40.83774,47,Female
40.98741,55,Male
41.40536,25,Male
43.03712,73,Male
43.44096,32,Male
43.53986,28,Male
43.77413,72,Male
44.85481,37,Male
47.45729,37,Female
48.43941,42,Female
48.62239,82,Female
48.82356,32,Male
50.32304,31,Male
51.27524,55,Female
51.61177,79,Male
53.12926,39,Female
54.07795,48,Male
54.22839,85,Female
54.84371,59,Male
56.23093,30,Female
56.26356,74,Female
56.67762,34,Female
57.96102,31,Female
61.68066,51,Female
62.70012,21,Female
62.73479,37,Female
65.447,49,Male
66.16431,36,Female
67.23246,69,Male
68.31669,57,Female
69.11549,77,Female
69.78329,47,Female
70.44968,89,Female
71.0996,47,Male
71.19776,51,Male
72.08299,64,Female
72.14726,30,Male
74.49799,95,Female
74.78068,96,Male
76.19908,87,Male
77.49827,99,Female
77.86366,29,Male
78.23167,74,Male
78.59815,47,Male
79.74718,81,Male
81.36848,98,Male
82.91781,71,Male
84.38313,65,Female
88.68343,92,Male
92.99722,90,Female
95.58296,99,Male
96.64722,86,Male
109.2094,90,Female
111.6623,96,Male
144.9398,95,Male
